@relation new

@attribute year numeric
@attribute iso_code {ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRD,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COD,COG,CRI,CIV,HRV,CYP,CZE,DNK,DOM,ECU,EGY,SLV,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MKD,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,VEN,VNM,YEM,ZMB,ZWE}
@attribute rank numeric
@attribute government_consumption numeric
@attribute transfers numeric
@attribute gov_enterprises numeric
@attribute top_marg_tax_rate numeric
@attribute size_government numeric
@attribute judicial_independence numeric
@attribute impartial_courts numeric
@attribute protection_property_rights numeric
@attribute military_interference numeric
@attribute integrity_legal_system numeric
@attribute legal_enforcement_contracts numeric
@attribute restrictions_sale_real_property numeric
@attribute reliability_police numeric
@attribute business_costs_crime numeric
@attribute gender_adjustment numeric
@attribute property_rights numeric
@attribute money_growth numeric
@attribute std_inflation numeric
@attribute inflation numeric
@attribute freedom_own_foreign_currency numeric
@attribute sound_money numeric
@attribute tariffs numeric
@attribute regulatory_trade_barriers numeric
@attribute black_market numeric
@attribute control_movement_capital_ppl numeric
@attribute trade numeric
@attribute credit_market_reg numeric
@attribute labor_market_reg numeric
@attribute business_reg numeric
@attribute regulation numeric
@attribute freedom numeric

@data
2016,CMR,141,7.379412,9.5671,7,4.5,7.111628,3.431264,4.199537,5.102848,5,3.333333,2.168526,3.374666,5.398002,4.319143,0.585366,3.199561,9.586799,9.474438,9.82686,0,7.222024,5.495733,2.363001,10,2.360348,5.054771,7.166555,7.334712,5.088875,6.530047,0
2016,CAN,10,3.923529,7.172716,8,5,6.024061,8.648412,6.388168,8.38074,10,9.166667,3.645024,8.97114,8.81717,6.866139,1,7.87594,8.992625,9.610223,9.716,2,9.579712,7.0476,7.922217,10,6.747176,7.929248,9.712141,8.179867,7.652364,8.514791,1
2016,CPV,93,5.123061,9.359981,0,6,5.12076,5.439204,3.724714,5.316383,8.4,?,6.058582,8.828181,5.422616,5.006094,1,6.024472,8.485154,9.299384,9.7186,1,8.125784,6.697778,5.785791,10,6.319318,7.200722,9.306979,4.893459,6.568007,6.922815,1
2016,CAF,156,9.702941,9.580096,4,5,7.070759,?,2.5,?,0.8,?,0.508171,4.966734,?,?,0.692308,1.85623,8.648341,8.406192,9.08,0,6.533633,4.490222,2.637307,10,1.488297,4.653957,8.195,3.251725,4.80489,5.417205,0
2016,TCD,150,10,9.918256,10,1,7.729564,1.782997,2.86779,3.166757,3.686307,?,2.223211,4.928059,2.899315,3.249398,0.717949,2.663232,9.211357,7.912861,9.78,0,6.726055,6.3126,2.025777,10,2.146645,5.121256,5.960078,5.363153,3.536916,4.953382,0
2016,CHL,15,6.629412,7.891642,10,7,7.880263,6.439825,4.708226,7.069168,7.5,7.5,5.109379,9.066918,8.145647,5.205232,0.902439,6.420139,8.713568,9.369286,9.2428,2,9.331413,9.470667,7.029769,10,6.573816,8.268563,8.9475,5.170611,7.176759,7.09829,1
2016,CHN,108,3.861765,8.294278,2,6,5.039011,5.823229,5.173022,5.960285,5,5.833333,5.739975,8.513847,5.981356,6.310325,0.871795,5.650259,9.981751,9.587956,9.6,1,8.542427,8.211422,6.220092,10,2.403916,6.708858,7.133781,5.539548,6.400861,6.358063,1
2016,COL,105,5.097059,7.840214,10,4.5,6.859318,3.268849,2.754271,4.801661,4.166667,3.333333,2.217135,9.09196,3.923158,3.169452,0.871795,3.819136,9.064892,9.334368,8.4966,1,7.973965,7.820356,4.319063,9.534426,5.569296,6.810785,8.88296,5.837184,6.413232,7.044459,1
2016,COD,148,7.676471,8.850409,8,4,7.13172,2.318285,3.119046,3.964803,2.5,1.666667,0.970059,5.633134,3.939286,5.738034,0.585366,2.629005,8.783999,9.238826,6.36,1,7.345706,7.750756,2.017237,10,2.270817,5.509702,6.333333,5.805844,5.107181,5.748786,0
2016,COG,157,5.435294,9.898215,4,4,5.833377,?,3.7,?,5,3.333333,3.011738,3.960542,?,?,0.707317,3.244861,7.762545,5.37331,9.28,0,5.603964,7.989289,0,10,1.54361,4.883225,6.057332,5.657673,4.938542,5.551182,0
